Country,year,GDP (current US$),CO2 emissions (kt),"Population, total"
South Africa,1997,168977000000,289030,45285048
South Africa,1998,152983000000,296490,45852166
South Africa,1999,151517000000,278410,46364681
South Africa,2000,151753000000,284660,46813266
South Africa,2001,135430000000,320540,47229714
South Africa,2002,129088000000,331320.0073,47661514
South Africa,2003,197020000000,353089.9963,48104048
South Africa,2004,255807000000,379989.9902,48556071
South Africa,2005,288868000000,377649.9939,49017147
South Africa,2006,303861000000,379790.0085,49491756
South Africa,2007,333075000000,397059.9976,49996094
South Africa,2008,316132000000,426739.9902,50565812
South Africa,2009,329753000000,404200.0122,51170779
South Africa,2010,417365000000,425309.9976,51784921
South Africa,2011,458202000000,409260.0098,52443325
South Africa,2012,434401000000,426779.9988,53145033
South Africa,2013,400886000000,436920.0134,53873616
South Africa,2014,381199000000,447929.9927,54729551
South Africa,2015,346710000000,424809.9976,55876504
South Africa,2016,323586000000,425140.0146,56422274
South Africa,2017,381449000000,435649.9939,56641209
South Africa,2018,404160000000,434350.0061,57339635
South Africa,2019,388532000000,439640.0146,58087055
